explored,fetched,tiles,routeTime,setupTime,tileTime,route#
8,7604,4,2.50560000538826,24241.48710000515,0,1
,0,0,,,0,2
8,884,4,0.5435999929904938,3814.4787000119686,0,3
8,40485,4,0.9265999794006348,110615.62000000477,0,4
8,41344,4,1.1604999899864197,81537.72590002418,0,5
,721,4,,,0,6
,0,0,,,0,7
8,884,4,0.23930001258850098,3666.450899988413,0,8
12,1587,4,0.7904999852180481,10156.120999991894,0,9
12,670,4,0.3630000054836273,2430.956900000572,0,10
8,715,4,0.43709999322891235,4595.3752000033855,0,11
8,1777,4,0.46540001034736633,6681.0057999789715,0,12
,0,0,,,0,13
,0,0,,,0,14
8,444,4,0.6044000089168549,5367.549899995327,0,15
8,444,4,0.3158999979496002,1625.4183000028133,0,16
8,444,4,0.25599998235702515,1830.5747999846935,0,17
8,1835,4,0.358599990606308,11488.547499984503,0,18
8,1835,4,0.30140000581741333,3742.262300014496,0,19
8,1517,4,0.2231999933719635,5287.514300018549,0,20
8,1329,4,0.2572000026702881,3732.452100008726,0,21
8,384,4,0.628600001335144,2078.416900008917,0,22
8,1535,4,0.24320000410079956,3656.671800017357,0,23
8,1594,4,0.4839000105857849,5549.982099980116,0,24
8,415,4,0.6033999919891357,2851.6933999955654,0,25
8,365,4,0.26899999380111694,2232.4555000066757,0,26
8,1431,4,0.33329999446868896,4179.095999985933,0,27
,1300,4,,,0,28
8,3957,4,0.33180001378059387,27080.42419999838,0,29
8,3957,4,0.511599987745285,11430.397400021553,0,30
8,3957,4,0.7475000023841858,14889.923799991608,0,31
8,1057,4,0.27469998598098755,8213.663500010967,0,32
8,146,3,0.2694000005722046,2441.9334999918938,0,33
8,446,4,0.23659998178482056,3539.9487000107765,0,34
8,459,4,0.20919999480247498,2612.39280000329,0,35
8,176,3,0.17829999327659607,1062.4462999999523,0,36
8,327,4,0.240200012922287,2566.3019999861717,0,37
8,404,4,0.34119999408721924,2397.44240000844,0,38
8,540,4,0.17880001664161682,3635.0012000203133,0,39
8,416,4,0.33390000462532043,5067.078299999237,0,40
8,361,4,0.16449999809265137,2439.5433000028133,0,41
8,579,4,0.21320000290870667,3021.0574000179768,0,42
8,193,4,0.1793999969959259,2563.9794999957085,0,43
10,308,4,0.2757999897003174,2478.1962999999523,0,44
8,840,4,0.2612000107765198,5002.809599995613,0,45
8,1378,4,0.5613999962806702,7530.808499991894,0,46
8,1378,4,0.4823000133037567,3088.936599999666,0,47
8,1378,4,0.4074000120162964,3065.030500024557,0,48
