explored,fetched,tiles,routeTime,setupTime,tileTime,route#
8,7602,4,2.730699986219406,28254.36439999938,0,1
,0,0,,,0,2
8,884,4,0.9174000024795532,3709.628600001335,0,3
8,40484,4,0.9318999946117401,69949.98559999466,0,4
8,41343,4,1.039000004529953,46681.55419999361,0,5
,720,4,,,0,6
,0,0,,,0,7
8,884,4,0.2004999816417694,1950.3064999878407,0,8
12,1587,4,0.6402000188827515,8567.93330001831,0,9
12,669,4,0.29809999465942383,1847.2400999963284,0,10
8,715,4,0.4366999864578247,11290.219899982214,0,11
8,1777,4,0.6143999993801117,7362.796000003815,0,12
,0,0,,,0,13
,0,0,,,0,14
8,442,4,0.3772999942302704,10029.962700009346,0,15
8,442,4,0.45260000228881836,1521.409500002861,0,16
8,442,4,0.5345999896526337,1397.6897999942303,0,17
8,1834,4,0.5100000202655792,13498.358999997377,0,18
8,1834,4,0.23399999737739563,2967.45300000906,0,19
8,1513,4,0.24950000643730164,4341.30529999733,0,20
8,1325,4,0.2700999975204468,2205.197699993849,0,21
8,381,4,0.6753000020980835,2058.8246000111103,0,22
8,1532,4,0.1924000084400177,2709.564999997616,0,23
8,1593,4,0.22060000896453857,3648.886199980974,0,24
8,412,4,0.26100000739097595,2147.847299993038,0,25
8,360,4,0.3222000002861023,1915.7787999808788,0,26
8,1430,4,0.2191999852657318,3414.9961999952793,0,27
,1298,4,,,0,28
8,3953,4,0.4357999861240387,20571.288000017405,0,29
8,3953,4,0.28279998898506165,7458.837099999189,0,30
8,3953,4,2.7424000203609467,7679.678799986839,0,31
8,1057,4,0.4596000015735626,6889.416199982166,0,32
8,146,3,0.4057999849319458,3155.137600004673,0,33
8,444,4,0.19380000233650208,2371.6524000167847,0,34
8,459,4,0.2980000078678131,2256.812799990177,0,35
8,172,3,0.19110000133514404,1024.1902000010014,0,36
8,323,4,0.49459999799728394,2325.1714999973774,0,37
8,400,4,0.3156999945640564,2635.2842999994755,0,38
8,535,4,0.156499981880188,3061.5493000149727,0,39
8,412,4,0.2777000069618225,3657.8627000153065,0,40
8,360,4,0.20190000534057617,2784.9900000095367,0,41
8,576,4,0.24560001492500305,2278.222500026226,0,42
8,190,4,0.3117000162601471,2556.905900001526,0,43
10,303,4,0.2987000048160553,2402.217200011015,0,44
8,839,4,0.2989000082015991,4390.177100002766,0,45
8,1378,4,0.41519999504089355,8107.671199977398,0,46
8,1378,4,0.35850000381469727,2258.226099997759,0,47
8,1378,4,0.5288999974727631,2841.926499992609,0,48
8,1378,4,0.8687999844551086,2276.6818999946117,0,49
8,1448,4,0.38659998774528503,3355.4919999837875,0,50
8,1448,4,0.25370001792907715,2573.6945999860764,0,51
8,1448,4,0.4187999963760376,2364.3657999932766,0,52
8,1448,4,0.5655999779701233,2602.985000014305,0,53
8,549,3,0.19190001487731934,3293.5683999955654,0,54
8,549,3,0.19500002264976501,1207.9952999949455,0,55
8,1980,4,0.536300003528595,8134.120399981737,0,56
8,1980,4,0.3333999812602997,3073.2196999788284,0,57
8,565,3,0.351500004529953,2626.040199995041,0,58
8,1346,4,0.43860000371932983,2927.13069999218,0,59
10,1522,4,2.4061000049114227,2543.7316000163555,0,60
8,692,4,0.26350000500679016,2852.4530999958515,0,61
8,692,4,0.2547000050544739,1505.6200000047684,0,62
8,1973,4,0.8091000020503998,6533.261099994183,0,63
8,836,4,0.34470000863075256,2799.0417000055313,0,64
8,2089,4,1.2186000049114227,8165.04960000515,0,65
8,878,4,0.28299999237060547,3530.5389999747276,0,66
8,365,4,0.17360001802444458,3152.7129000127316,0,67
8,295,4,0.164900004863739,2043.1681999862194,0,68
8,144,4,0.2493000030517578,2675.967300027609,0,69
8,1686,4,0.2943999767303467,4049.263799995184,0,70
8,520,4,0.21209999918937683,2749.5811000168324,0,71
12,103,4,0.5967999994754791,939.165099978447,0,72
8,1320,4,0.23190000653266907,5149.858599990606,0,73
8,570,4,0.3427000045776367,3524.2330999970436,0,74
8,2259,4,0.22789999842643738,5678.736900001764,0,75
8,363,4,0.33490002155303955,2468.963099986315,0,76
8,232,4,0.21939998865127563,3198.0755999982357,0,77
8,2252,4,0.29729998111724854,5945.338799983263,0,78
8,2325,4,0.2665000259876251,4863.726099997759,0,79
8,989,4,0.2751000225543976,2933.824999988079,0,80
8,1176,4,0.1705000102519989,2746.7155000269413,0,81
8,651,4,0.2676999866962433,3916.291000008583,0,82
8,165,4,0.19949999451637268,1939.2089000046253,0,83
8,131,3,0.21580001711845398,1213.9275999963284,0,84
8,2860,4,0.4422000050544739,5848.035300016403,0,85
8,129,4,0.16670000553131104,2886.3619000017643,0,86
8,129,4,0.23440000414848328,1454.594999998808,0,87
8,40894,4,0.35520002245903015,46816.29499998689,0,88
8,208,4,0.1665000021457672,1719.0352999866009,0,89
8,208,4,0.2547000050544739,1004.8206000030041,0,90
8,232,3,0.46790000796318054,1806.6484000086784,0,91
8,320,4,0.21489998698234558,2134.486200004816,0,92
8,238,4,0.1890999972820282,2052.352699995041,0,93
,0,0,,,0,94
,0,0,,,0,95
10,58,3,0.4932999908924103,1302.3156000077724,0,96
8,58,3,0.19569998979568481,564.0462999939919,0,97
8,58,3,0.18790000677108765,488.97609999775887,0,98
8,281,4,0.2053999900817871,1240.5020000040531,0,99
8,243,3,0.1559000015258789,814.6082000136375,0,100
8,243,3,0.22209998965263367,736.6243999898434,0,101
8,243,3,0.23840001225471497,850.9568000137806,0,102
8,243,3,0.22630000114440918,703.5672000050545,0,103
8,243,3,0.21059998869895935,726.5582000017166,0,104
8,243,3,0.32889997959136963,872.2781000137329,0,105
